field_1,well_id,Alkalinity,Alkalinity_Total,ANC,As,Ba,Be,Bicarbonate,Br-,Ca,Carbonate,Cd,Cl,Cl-,CO2,Conductivity,Cr,Cyanide,DO,ElectricalConductivity,"Gross alpha, 2-sigma combined uncertainty",GrossAlpha,GrossAlpha_U_Nat,GrossBeta,GrossBeta_Cs137,GrossBeta_Sr_Y90,Hardness,Hardness_Total,Hg,HydrogenIon,Hydroxide,K,Mg,Mn,Na,Na_AdsorptionRatio,Na_FractionCations,Na_K,Nitrate,Nitrate_Nitrite,NO2-,NO3-,Noncarbonate_Hardness,ORP,Pb,Ra_226,"Ra_226, 2-sigma combined uncertainty",Ra_228,"Ra_228, 2-sigma combined uncertainty",Ra_Total,Sb,Se,SpecificConductance,Temperature,Tl,Turbidity,U
863,7011,,,,1.207054741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.724106075
864,7012,,,,15.57890486,,,,,48.52218948,,,,33.12926891,,,,,,,,,,,,,,,,,,27.54643438,14.33904055,0.61860263,72.3923559,,,,107.5839083,,,,,,,,,,,,,,,,,,10.31408321
865,7013,,,,4.5849476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.829300248
866,7014,,,,3.307932808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09
867,7015,,,,0.085240545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28294013
868,7016,,,,1.356760382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
869,7017,,,,14.10184552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51
870,7018,,,,26.18422295,,0,,,,,0.138753959,,,,,1.121590245,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.199992967,,,,,,0.644689579,34.4242025,,,,,42.54721253
871,7019,,,,0.391079967,,,,,,,0.138753959,,,,,0.271713179,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1797611,,,,,,0.303071972,19.72236696,,,,,0.562451007
872,7020,,,,43.11610937,,0,,,,,0.138753959,,,,,1.130797982,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.089772858,,,,,,0.284125232,34.48794069,,,,,89.01771435
873,7021,,,,44.43086799,,0,,,,,0.138753959,,,,,1.456023159,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066418355,,,,,,0.425080969,72.65236412,,,,,73.5
874,7022,,,,1.307513713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.99
875,7023,,,,1.7688763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27
876,7024,,,,2.159036373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27
877,7025,,,,1.374339852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.554199503
878,7026,,,,0.627511064,,,,,,,0.138753959,,,,,0.954317779,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056781058,,,,,,0.358247752,,,,,,0.22970081
879,7027,,,,3.285244133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.33307827
880,7028,,,,4.78,,0,,,,,0.138753959,,,,,0.10490272,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066418355,,,,,,0.231157881,11.11219115,,,,,3.537863544
881,7029,,,,1.826135398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046829683
882,7030,,,,1.819999244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.689323971
883,7032,,,,2.161052333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.66558554
884,7033,,,,10.31646761,,0,,,,,0.138753959,,,,,1.423912953,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.026766157,,,,,,0.618654593,26.08295065,,,,,9.472987608
885,7034,,,,8.475561517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0743819
886,7035,,,,1.594362607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
887,7036,,,,21.44618083,,,,,,,0.138753959,,,,,0.733938473,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.653587632,,,,,,0.371901021,26.77153983,,,,,15.67488317
888,7037,,,,1.310123989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.68788139
889,7039,,,,20.70151271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,7040,,,,1.504364612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.76
891,7041,,,,18.83465309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.268698764
892,7042,,,,13.71882338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24001496
893,7043,,,,17.569789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75782687
894,7044,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.62362031
895,7045,,,,2.817095909,,,,,35.97437005,,0.138753959,,56.50259325,,,1.67115629,,,,,,,,,,,,,,,13.09499681,28.10773259,,81.61501582,,,,15.30590581,,,,,,0.056781058,,,,,,2.790200723,,,,,,18.1211079
896,7046,,,,68.93112706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.543389499
897,7047,,,,1.168690618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.10250866
898,7048,,,,2.518549602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.25810382
899,7049,,,,2.716396848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.93875167
900,7050,,,,7.01820376,,,,,87.16739732,,0.138753959,,269.9804777,,,0.764754001,,,,,,,,,,,,,,,0,47.7717518,,0,,,,6.61284239,,,,,,0.066418355,,,,,,0.317214431,22.95539439,,,,,4.489554425
901,7051,,,,1.665573875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.250135134
902,7052,,,,2.274646355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.629832028
903,7053,,,,4.786376958,,78.25871581,,,,,11.10180924,,,,,1.486975669,,,,492.6,3080,,,,,,,,,,,,,,,,,,,,,,,6.569187084,66,,34.9,,100.9,0.263208511,96.10294946,,,,,641.7910448
904,7054,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52
905,7055,,,,10.21646139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0560562
906,7056,,,,0.085240545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71
907,7057,,,,2.784821081,,,,,20.06475222,,,3.92722159,4.777254325,,,,,,,,,,,,,,,,,,1.274042285,3.734950033,,7.51911153,,,,8.42584954,,,,,,,,,,,,,,,,,,1.1
908,7058,,,,43.46682747,,,,,,,0.138753959,,,,,0.200983539,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066418355,,,,,,0.245639738,20.42005523,,,,,11.58092424
909,7059,,,,3.109259367,,,,,29.13942813,,,,,,,,,,,,,,,,,,,,,,0,5.646352246,15.51337855,0,,,,,,,,,,,,,,,,,,,,,,1.250615741
910,7060,,,,2.562452946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.59382274
911,7061,,,,2.729927661,,,,,,,0.138753959,,,,,0.605908244,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.894336166,,,,,,0.305771263,,,,,,2.611464988
912,7062,,,,3.37308196,,,,,,,0.138753959,,,,,1.113433159,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056781058,,,,,,0.123639477,,,,,,0.852098177
913,7063,,,,3.477347756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.477245704
914,7064,,,,128.763076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.17839981
915,7065,,,,15.13507251,,,,,,,0.138753959,,,,,1.388462792,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189598344,,,,,,1.638249722,34.77922031,,,,,8.050661345
916,7066,,,,4.443627722,,0,,,54.42249796,,0.138753959,,,,,0.645390525,,,,,,,,,,,,,,,0,7.20542944,,0,,,,,,,,,,0.119723829,,,,,,0.223138615,11.72907789,,,,,0.876226017
917,7067,,,,8.096309087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.383092343
918,7068,,,,1.769455198,,,,,,,0.138753959,,,,,0.291156156,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079422655,,,,,,0.292397193,21.4162325,,,,,8.836099278
919,7069,,,,4.58219231,,,,,21.12489363,,,,,,,,,,,,,,,,,,,,,,0,5.158122155,,0,,,,,,,,,,,,,,,,,,,,,,3.518988065
920,7070,,,,1.867776788,,,,,,,0.138753959,,,,,2.498005512,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056781058,,,,,,0.217364388,,,,,,4.685934209
921,7071,,,,3.621100263,,,,,,,0.138753959,,,,,0.288246377,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066418355,,,,,,0.212512009,14.64772005,,,,,0.331897296
922,7073,,,,21.04640512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.48983821
923,7074,,,,53.98768046,,,,,,,0.138753959,,,,,2.958668316,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105217046,,,,,,0.388987041,29.26470941,,,,,10.14925314
924,7075,,,,29.437973,,,,,32.19096904,,,,18.5987782,,,,,,,,,,,,,,,,,,0.952719077,4.342398599,,33.07977289,,,,1.8653575,,,,,,,,,,,,,,,,,,7.890746968
925,7077,,,,2.8994219,,,,,23.24910161,,,,,,,,,,,,,,,,,,,,,,0,1.547873717,,0,,,,,,,,,,,,,,,,,,,,,,1.25
926,7078,,,,3.789221306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.810068464
927,7079,,,,4.385995293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.776388052
928,7080,,,,19.80723263,,0,,,,,0.138753959,,,,,0.345922337,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091757335,,,,,,0.229888846,19.76548525,,,,,0.587988878
929,7081,,,,1.138140815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.967840071
930,7082,,,,1.599248385,,0,,,,,0.138753959,,,,,0.130139597,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103403872,,,,,,0.227922011,10.81678689,,,,,0.748100164
931,7083,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77
932,7084,,,,2.013818515,,,,,,,0.138753959,,,,,0.567810058,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073773614,,,,,,0.29323833,61.47775009,,,,,63.04457147
933,7085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.41791045
934,7087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.089552239
935,7088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.179104478
936,7089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.432835821
937,7090,,,,,,,,,,,,,,,,,,,,21.356,23.5,,,,,,,,,,,,,,,,,,,,,,,,0.39,,0.74,,1.13,,,,,,,4.776119403
938,7091,,,,,,,,,,,,,,,,,,,,-3.7278,-3.5,,,,,,,,,,,,,,,,,,,,,,,,0.23,,0.28,,0.51,,,,,,,0.507462687
939,7092,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,0.21,,0.4,,,,,,,,,4.776119403
940,7093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.373134328
941,7094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.029850746
942,7095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.955223881
943,7096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.089552239
944,7097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.40298507
945,7099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.179104478
946,7100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.089552239
947,7101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.373134328
948,7102,,,,,,,,,,,,,,,1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044,23.2,,,
949,7103,,,,,,,,,,,,,,,349.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.3,13.7,,,19.40298507
950,7104,,,,,,,,,,,,,,,909,,,,,6.1,34.7,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.082,0.34,0.21,0.299,,,1084,16.6,,,64.17910448
951,7105,,,,,,,,,,,,,,,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676,14.8,,,5.820895522
952,7106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.432835821
953,7107,,,,,,,,,,,,,,,,,,,,31.36,52.8,,,,,,,,,,,,,,,,,,,,,,,,0.11,,0.13,,0,,,,,,,52.23880597
954,7108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.37313433
955,7109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.86567164
956,7110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.537313433
957,7111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.52238806
958,7112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.41791045
959,7113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149253731
960,7114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.268656716
961,7115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.40298507
962,7116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.805970149
963,7117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611940299
964,7119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.776119403
965,7120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19402985
966,7121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.940298507
967,7122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.34328358
968,7123,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,0.116,,0.2,,,,,,,,,61.19402985
969,7124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.253731343
970,7125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.462686567
971,7126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.746268657
972,7127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.089552239
973,7128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.89552239
974,7129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.23880597
975,7131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.880597015
976,7132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.686567164
977,7133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.656716418
978,7135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.985074627
979,7136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.940298507
980,7137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.82089552
981,7139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.835820896
982,7140,,,,,,,,,,,,,,,,,,,,-1.16,31,,,,,,,,,,,,,,,,,,,,,,,,0.125,,-0.03,,0.095,,,,,,,71.64179104
983,7141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.88059701
984,7142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.925373134
985,7143,,,,,,,,,,,,,,,,,,,,-6.21,22.6,,,,,,,,,,,,,,,,,,,,,,,,0.22,,0.37,,0.431,,,,,,,64.17910448
986,7144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149253731
987,7145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149253731
988,7146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.880597015
989,7147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.53731343
990,7148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.88059701
991,7149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8358209
992,7150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.119402985
993,7151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.41791045
994,7152,,,,,,,,,,,,,,,,,,,,-12.9,102,,,,,,,,,,,,,,,,,,,,,,,,0.21,,0.29,,0.29,,,,,,,268.6567164
995,7153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76119403
996,7154,,,,,,,,,,,,,,,,,,,,-1.89,59,,,,,,,,,,,,,,,,,,,,,,,,0.17,,0.41,,0.28,,,,,,,105.9701493
997,7155,,,,,,,,,,,,,,,,,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,0.09,,0.3,,,,,,,,,98.50746269
998,7156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.537313433
999,7157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.41791045
1000,7158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.208955224
1001,7159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.82089552
1002,7160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.059701493
1003,7161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.805970149
1004,7162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.04477612
1005,7166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.880597015
1006,7170,,,729,,,,661,,20,112,,,35,1.8,,,,,,,,,,,,64,,,,,0.7,3.3,,420,23,93,,,0.07,,,0,,,,,,,,,,1500,,,,
1007,7176,,,138,,,,164,,2.9,2,,,19,1.1,,,,,,,,,,,,8,,,,,0.6,0.2,,84,13,95,,,3.6,,,0,,,,,,,,,,370,16.5,,,
1008,7179,,,113,,,,138,,23,0,,,6.8,3.5,,,,,,,,,,,,82,,,2.00E-05,,3.2,6,,29,1.4,42,,,0.7,,,0,,,,,,,,,,260,,,,
1009,7180,,,182,,,,82,,2.8,69,,,22,0,,,,,,,,,,,,7,,,,,0.7,0.1,,110,18,97,,,0.04,,,0,,,,,,,,,,500,,,,
1010,7181,,,147,,,,179,,7,0,,,34,2.3,,,,,,,,,,,,24,,,1.00E-05,,1,1.7,,100,8.8,89,,,8.9,,,0,,,,,,,,,,510,17,,,
1011,7182,,,663,12,100,,827,,10,0,1,,390,9.5,,,,,,,,,,,,38.1,,280,1.00E-05,,0.9,3.2,,590,41.6,97,,,1,,,,,5,0.2,,3,,,,1,2200,14.5,,,
1012,7183,,,401,,,,460,,44,10,,,500,,,,,,,,,,,,,140,,,,,,8,,550,20,,,,,,6,0,,,,,,,,,,2820,,,,
1013,7184,,,309.5,,,,351.5,,14.5,12.5,,,33,,,,,,,,,,,,,41.5,,,,,,1.25,,117.5,16.5,,,,,,1,0,,,,,,,,,,,,,,
1014,7187,,,511,,,,532,,18,45,,,82,1.3,,,,,,,,,,,,72,,,,,,6.6,,,16,91,320,,,,3,0,,,,,,,,,,1410,18,,,
1015,7188,,,410,,,,500,,80,0,,,580,8,,,,,,,,,,,,250,,,1.00E-05,,,13,,,16,83,,,,,2.5,0,,,,,,,,,,2970,15,,,
1016,7189,,,186,1,100,10,378.5,,720,0,10,,37000,210,,,,,,,,,,,,2635,,,0.00051,,42.5,95.6,,23500,200,95.5,,,0.05,0.033,0.221,2500,,6,,,,,,,,86400,20.9,,,
1017,7190,494,,452,1.4,200,0.5,562.5,0.755,29,0,1,,170,8.7,,,,,,,,,,,,102,,220,,,1.6,4.23,,340,15,87,,,1,0.25,0.266,,,5,0.1,,,,,0.2,1,1800,16,0.05,2.7,0
1018,7191,,,476,,,,580,,15,0,,,190,9.3,,,,,,,,,,,,58,,,1.00E-05,,2.6,4.9,,430,25,94,,,0.01,,,0,,,,,,,,,,1700,18,,,
1019,7196,,,356,,,,415,,11.5,19,,,297.5,1.4,,,,,,,,,,,,43,,,,,1.3,3.45,,390,27,95,450,,1.3,1.3,5.7,0,,,,,,,,,,1870,17,,,
1020,7197,,,434,,,,529,,26,,,,79,,,,,,,,,,,,,85,,,,,1.9,4.8,,290,14,88,,,0.26,0.82,0.04,0,,,,,,,,,,1250,17,,,
1021,7198,,,402,,,,490,,81,,,,890,,,,,,,,,,,,,220,,,,,4.5,5.4,,1200,35,92,,,0.42,0.03,1.8,0,,,,,,,,,,5500,15,,,
1022,7199,,,66.5,,,,81,,,0,,,41800,22,,,,,,,,,,,,,,,0.00016,,,,,,,,,,,,,,,,,,,,,,,91650,,,,
1023,7200,,,593,,,,723,,39,,,,42,,,,,,,,,,,,,120,,,,,3.4,4.8,,290,12,84,,,0.08,0.07,0.27,0,,,,,,,,,,1280,16.5,,,
1024,7201,,,325,5,100,,,,41,,17,,50,8.7,,,,,,,,,,,,144,,70,1.00E-05,,1.5,10,,270,9.81,80,,,1,,,,,5,0.1,,,,,,1,1340,15.5,,0.5,
1025,7204,,,123,,,,150,,657,0,,,23900,15,,,,,,,,,,,,2100,,,6.00E-05,,,122,,,,,15000,,,,,2000,,,,,,,,,,59300,,,,
1026,7205,,,464,,,,478,,2.8,43,,,114,1.4,,,,,,,,,,,,10,,,,,,0.7,,,,,370,,,,,0,,,,,,,,,,1580,15,,,
1027,7206,,,431,3,200,,,,30,,4,,52,6.9,,,,,,,,,,,,103,,310,1.00E-05,,1.8,6.8,,220,9.44,82,,,1,,,,,5,0.1,,,,,,1,1115,15.5,,19,
1028,7207,,,211,,,,257,,65,,,,42,,,,,,,,,,,,,220,,,,,1.6,13,,130,3.9,57,,,0.2,0.03,0.84,5,,,,,,,,,,900,16,,,
1029,7208,,,143,,,,174,,98,,,,850,,,,,,,,,,,,,310,,,,,,15,,,,,2300,,,,5.9,160,,,,,,,,,,9490,,,,
1030,7210,,,508,,,,619,,5.7,,,,59,,,,,,,,,,,,,29,,,,,2.6,3.7,,290,23,95,,,0.09,0.23,0.09,0,,,,,,,,,,1180,16,,,
1031,7211,,,140,,,,162,,3.2,4,,,5.5,1.4,,,,,,,,,,,,9,,,1.00E-05,,1.2,0.3,,67,9.6,93,,,0.15,,,0,,,,,,,,,,330,19,,,
1032,7212,,,126,,,,153,,45,,,,7.7,,,,,,,,,,,,,130,,,,,1.9,3.6,,8,0.3,12,,,1.7,,,2,,,,,,,,,,280,,,,
1033,7213,,,150,23,13,0.5,,,2.8,,1,,2,0.2,,,,,,,,,,,,8.08,,,,,1.9,0.25,,72,11.1,94,,,1.8,,,,,5,,,,,,,2,329.5,21,,,
1034,7214,,,378,,,,461,,25,0,,,37,9.3,,,,,,,,,,,,88,,,1.00E-05,,3.3,6.3,,260,12,86,,,0.53,,,0,,,,,,,,,,1100,,,,
1035,7215,,,137,,,,167,,24,,,,3.3,,,,,,,,,,,,,71,,,,,3.1,2.6,,34,1.8,50,,,0.62,,,0,,,,,,,,,,280,17.5,,,
1036,7216,,,155,,,,189,,2.8,,,,3.1,,,,,,,,,,,,,9,,,,,1,0.4,,73,11,94,,,0.8,,,0,,,,,,,,,,300,15.5,,,
