well_id,wellUse,As_,Ba,Ca,Cl_,Cr,GrossAlpha_U_Nat,Nitrate,Pb,Ra_Total,Se,U,None
435,Unknown,39.60763034,73,6.4,,7.5,,1.200073031,7.9,0.894,43.97644239,69.25373134,
437,Domestic,10,58.1,51.5,,5,,,3,,5,9.92238806,
438,Livestock,18.3,8.8,1.04,,5,,,1.2,,5,13.55373134,
439,Unknown,10,57.9,96,,5,,,3,,11.7,68.39552239,
440,Unknown,10,38.7,2.2,,5,,,3,,5,0.67761194,
441,Livestock,10,49.3,41.6,,4.2,,,1.8,,5,11.19402985,
442,Livestock,10,68.2,29.5,,5,,,3,,5,0.41641791,
443,Unknown,4.2,41.4,18.1,,5,,,3,,5,10.6358209,
444,Unknown,10,121,74.7,,5,,,3,,5,4.770149254,
445,Unknown,10,101,67.2,,3.6,,,3,,5,4.47761194,
446,Domestic,10,213,83.7,,5,,,4.8,,5,10.52537313,
447,Unknown,10,146,69.8,,5,,,3.2,,5,3.6,
448,Unknown,10,241,73.4,,5,,,3,,5,4.719402985,
449,Domestic,10,186,70.4,,5,,,3,,5,3.682089552,
450,Livestock,10,183,74.9,,5,,,2.2,,5,2.729850746,
451,Unknown,2.6,183,75.8,,5,,,3,,5,4.570149254,
452,Unknown,10,137,88.1,,5,,,1.2,,5,3.644776119,
453,Unknown,10,61.7,71.7,,5,,,3,,5,5.17761194,
454,Domestic,4.8,245,107,,5.3,,,67.8,,5,4.364179104,
455,Unknown,10,97.2,76.6,,5,,,3,,5,5.823880597,
456,Unknown,10,101,81.8,,5,,,1.4,,5,9.373134328,
457,Unknown,3.6,203,42.6,,3.4,,,11.5,,5,22.91940299,
458,Unknown,11.4,312,101,,5,,,3,,12.6,45.32089552,
459,Unknown,9.1,108,4.69,,5,,,2.6,,5,0.208955224,
460,Unknown,6.6,221,69.9,,5,,,2.8,,5,24.10149254,
461,Unknown,9.7,194,15.4,,5,,,1.7,,5,13.30447761,
462,Domestic,4.3,84.4,45.4,,12.1,,,100,,5,5.494029851,
463,Domestic,10,15.2,58.3,,5,,,3,,5,7.640298507,
464,Unknown,6,254,53,,5,,,3,,5,10.88059701,
468,Unknown,3.5,37,64.9,,5,,,3,,5,6.6,
469,Unknown,10,402,130,,5,,,3,,5,27.15820896,
470,Domestic,9.8,241,64.9,,5,,,3,,8.5,124.9358209,
471,Unknown,5.7,371,41.8,,5,,,1.4,,5,11.48507463,
472,Unknown,7.2,140,62.4,,5,,,10,1.718,23,61,
473,Unknown,5.1,92.4,66.7,,5,,,3,,21.7,21.62238806,
474,Unknown,5.8,55.2,46.1,,5,,,3,,34.3,34.92537313,
